name,category,address,phone,website,base_name,base_category,base_address,base_phone,base_website,label
Dr. Sankar R,obstetrician_and_gynecologist,"Apollo Children Hospital, No. 15, Shafee Mohammed Road, Thousand Lights",18605001066,https://www.askapollo.com/physical-appointment/doctor/chennai/orthopedician/dr-sankar-r?utm_source=bingplaces&utm_medium=bingmaps&utm_campaign=organic,Dr. Bhaskar S,doctor,"Apollo Hospitals Greams Road, No: 21, Greams Lane, Off Greams Road",18605001066,,0
Boost Mobile,electronics,501 N Mt Vernon Ave,9093841080,https://www.boostmobile.com/locations/bd/boost-mobile-ca-san-bernardino-501-n-mt-vernon-92411/,Boost Mobile,electronics,501 N Mt Vernon Ave,9093841080,https://www.boostmobile.com/locations/bd/boost-mobile-ca-san-bernardino-501-n-mt-vernon-92411/?utm_source=bing&utm_medium=lastmile&utm_campaign=0015e00000jB8xCAAS,1
The North Face,outdoor_gear,東京都足立区千住３丁目９２,+81343765222,https://www.goldwin.co.jp/tnf/shoplist/?id=0216,THE NORTH FACE (ザ・ノース・フェイス) 北千住マルイ,sports_wear,"千住3-92, 北千住マルイ 5F",0343765222,https://www.goldwin.co.jp/tnf/shoplist/,1
Wesley Willows,political_organization,4141 N Rockton Ave,8153161500,https://wesleywillows.org/,Wesley Willows,political_organization,4141 N Rockton Ave,8153161500,http://wesleywillows.org/,1
Worsham Law Firm,wills_trusts_and_probate,203 Jamestown Blvd,+14175800291,https://www.WillWorshamlaw.com/,Worsham Law Firm,estate_planning_law,203 Jamestown Blvd Unit C,4178639455,https://www.logroglaw.com/,1
Tilleman Motor CO.,tire_shop,4514 U S 2,4064146076,http://www.tillemanmotor.com/,Tilleman Motor Co. CDJR,automotive,4500 U S 2,4062655428,https://www.tillemanmotor.net/,1
Tysons Corner Dentists,dentist,8296 Old Courthouse Rd,+17038488889,http://tysonscornerdentists.com/,Tysons Corner Diagnostic Imaging,diagnostic_imaging,8320 Old Courthouse Rd 130,7033564900,https://www.tysonscornerimaging.com/tysons-corner/,0
L'atelier des langues,education,4 rue des Cloutiers,+33755630052,http://www.atelierdeslangues.fr/,L'Atelier de Nico,cafe,"L' Atelier de Nico La Halle, Pl. Maréchal de Lattre de Tassigny",+33686422761,https://latelierdenico-brive.com/,0
LibertyX Bitcoin ATM,atms,720 Boston Tpke,+18005118940,https://libertyx.com/a/buy-bitcoin/locations/MA/shrewsbury/720-boston-turnpike?y_source=1_NjcwNzI2ODQtNTU5LWxvY2F0aW9uLndlYnNpdGU%3D,LibertyX Bitcoin ATM,atms,720 Boston Turnpike,8005118940,https://libertyx.com/a/buy-bitcoin/locations/MA/shrewsbury/720-boston-turnpike?y_source=1_NjcwNzI2ODQtNDgzLWxvY2F0aW9uLndlYnNpdGU%3D,1
Ship Inn,restaurant,11 Martins Lane,+441392272040,https://www.greeneking.co.uk/pubs/devon/ship?utm_source=facebook&utm_medium=locations&utm_campaign=HT_pubpage,Ship Inn,pub,1-3 Martins Ln,01392272040,https://www.greeneking.co.uk/pubs/devon/ship?utm_source=bing&utm_medium=locations&utm_campaign=HT_pubpage,1
State Beauty Supply,beauty_salon,1226 Gardiner Ln,+15024510595,http://statebeautysupplyoflouisville.com/,State Beauty Supply of Louisville,beauty_product_supplier,1226 Gardiner Ln,5024510595,http://www.statebeautysupplyoflouisville.com/,1
Waxahachie Ford Collision,,2401 N 1-35 E,9729380444,https://www.waxahachieford.com/,Waxahachie Ford Parts,auto_parts_and_supply_store,2401 N 1-35 E,9729380444,https://www.waxahachieford.com/,1
Camping Ter,campground,"Ctra.Torroella-L´estartit Km 4,3",639408590,http://campingter.com/home.html,Camping TER,campground,"Ctr.torroella a l´estartit km 4,3",639408590,http://www.campingter.com/,1
Banco Montepio,bank_credit_union,Rua 5 de Outubro 33c,+351217241624,https://www.bancomontepio.pt/?utm_source=google&utm_medium=organic&utm_campaign=localmkt_website,Banco Montepio,bank_credit_union,"Rua 5 de Outubro, 33 C e D",217241624,https://www.bancomontepio.pt/,1
"Heron Cross Store, Best-One",korean_grocery_store,1-3 Grove Road,01782311966,https://stores.best-one.co.uk/heron-cross-store-best-one-5e8d54ac83d1?y_source=1_MTI3MjQ0MTMtNDgzLWxvY2F0aW9uLndlYnNpdGU%3D,Heron Cross Pottery,business_manufacturing_and_supply,Hines St,+441782312671,http://www.heroncrosspottery.org/,0
"Benjamin Barnes, MD",neurologist,759 Chestnut St,4137945600,https://providers.baystatehealth.org/provider/Benjamin+J+Barnes/209172,"Benjamin J. Saunders, MD",neurologist,759 Chestnut St,4137945600,https://providers.baystatehealth.org/provider/Benjamin+J.+Saunders/1208753,0
Walmart Fuel Station,gas_station,1800 Carl D Silver Pkwy,5407862090,http://www.walmart.com/store/1833/,Walmart,photography_store_and_services,1800 Carl D Silver Pkwy,5405488095,https://www.walmart.com/store/1833-fredericksburg-va/,0
Lake Erie Fishing Charters With EyeTime Charters: Capt Chad Hornig,fishing_club,5925 E Saylor St,+14192315664,http://www.ohiowalleyecharters.com/,Lake Erie Fishing Charters - Eriegardless Sportfishing,boat_charter,5925 E Saylor St,4197020589,https://www.eriegardlesssportfishing.com/,0
U,beauty_and_spa,"12, Srinagar St",,,UCO Bank,bank_credit_union,"Hormuz Villa, Sodepur Road",18001030123,https://branch.ucobank.com/uco-bank-madhyamgram-banks-madhyamgram-madhyamgram-96292/Home?utm_source=locator&utm_medium=bing,0
Jon Harper Wedding Photography,wedding_planning,90 Colesbourne Road,01452538638,http://www.jon-harper.co.uk/,Jon Harper,wedding_planning,90 Colesbourne Road,01452538638,http://jon-harper.co.uk/,1
Texas Health Heart & Lung Surgical Specialists,cardiologist,6300 W Parker Rd,+19729817870,https://www.texashealth.org/thpg/heart-and-lung-surgical-specialists/6300-west-parker-road-suite-322-plano/,Texas Health Heart & Lung Surgical Specialists,cardiologist,6300 W Parker Rd 322,9729817870,https://www.texashealth.org/thpg/heart-and-lung-surgical-specialists/6300-west-parker-road-suite-322-plano/,1
Jo Hannan Skin Health & Transformations,beauty_salon,37 Silvester Way,+441252625464,https://linktr.ee/johannanskin,Jo Hannan Skin Health & Transformations,skin_care,"37 Silvester Way, Church Crookham",01252625464,http://www.johannan.co.uk/,1
Brothers Mechanical Services,hvac_services,8996 Mike Garcia Dr,+17036591369,https://www.bmsfederal.com/,Brothers Mechanical Services®,hvac_services,8996 Mike Garcia Dr,7036591369,https://www.bmsfederal.com/,1
Shopko,pharmacy,1006 S County Rd,6414848801,http://www.shopko.com/,Shopko Hometown,drugstore,1006 S County Rd,6414845151,http://www.shopko.com/,1
Family Dollar,discount_store,300 Martin St,+19372030373,https://www.familydollar.com/locations/oh/greenville/26810/,Family Dollar,discount_store,300 Martin St,9372030373,,1
T.J. Maxx,clothing_store,172 E 12300 S,8014953424,,T.J. Maxx,clothing_store,172 East 12300 South St.,8014953424,https://tjmaxx.tjx.com/store/index.jsp,1
Cookie Cutters Haircuts for Kids,beauty_salon,266 S Beverly Dr,+13107347556,https://www.haircutsarefun.com/beverlyhills-ca/,Cookie Cutters Haircuts for Kids - Beverly Hills,kids_hair_salon,266 S Beverly Dr,3107347556,http://www.haircutsarefun.com/beverlyhills-ca,1
Hanger Clinic,prosthetics,6363 Main St,+12256588510,https://hangerclinic.com/clinics/LA/zachary/main-st/,Hanger Clinic: Prosthetics & Orthotics,orthotics,6363 Main St Ste E,2256588510,https://hangerclinic.com/clinics/LA/zachary/main-st/,1
Bargain Tree Service,christmas_trees,2811 Warners Rd,3156723398,http://www.bargaintreeservice.net/,Bargain Tree Service,christmas_trees,2811 Warners Rd,3156723398,https://www.bargaintreeservice.net/,1
Micronova IT Group,internet_service_provider,18 Bull Temple Road,+918147090194,https://www.micronova.in/,"Micronova IT Group - Internet Leased Lines, Internet Data Center, Managed IT Services",industrial_equipment,"17, Bull Temple Road, Basavanagudi",08147090194,https://www.micronova.in/,1
M-CO Wiring,electrician,11756 Borman Dr,+13144735141,http://www.mcowiring.com/,M-CO Wiring,electrician,11756 Borman Dr,3144735141,http://www.mcowiring.com/,1
CVS Pharmacy,online_shop,1060 WOODS MILL Rd,6362272770,https://www.cvs.com/store-locator/chesterfield-mo-pharmacies/1060-woods-mill-rd-chesterfield-mo-63017/storeid=18028?WT.mc_id=LS_BING_18028,CVS Pharmacy,online_shop,1060 Woods Mill Rd,6362272770,http://locations.cvsrx.com/mo/chesterfield/-chesterfield-mo-18028.html,1
Juice,electronics,"Via Cenisio, 61",+390233603122,https://www.juice.it,Juice Milano Caneva | Apple Premium Reseller e Centro Assistenza Autorizzato Apple,computer_store,"Via Cenisio, 61",0233603122,https://www.juice.it/negozi/milano-caneva,1
Guild Mortgage - Jennifer Mathus,mortgage_lender,"1530 E. Williams Field Road, Suite 206, 210",,https://branches.guildmortgage.com/az/gilbert/jennifer-mathus-374-evjma.html,Guild Mortgage - Gregory Mattern,mortgage_lender,1530 E Williams Field Rd,3039970775,https://branches.guildmortgage.com/az/gilbert/greg-mattern-424-evgm.html,0
Relax With Lisa,massage,5435 Sugarloaf Pkwy,+16785481918,http://www.massagebook.com/biz/relax-with-rose,Relax with Rose II LLC,massage,5425 Sugarloaf Pkwy Ste 1103,4702826178,https://massagebook.com/Lawrenceville~Massage~relax-with-rose,0
HBS Insurance,auto_insurance,113 W Chestnut St,8122807772,https://www.hbsinsurance.net/,HBS Insurance,auto_insurance,113 W Chestnut St,8122807772,https://www.hbsinsurance.net/,1
Take 5 Car Wash,car_wash,1113 Lake Murray Blvd,8037697313,,Take 5 Car Wash,car_wash,1113 Lake Murray Blvd,8037697313,https://take5carwash.com/locations/,1
Lido Restaurant,vietnamese_restaurant,2518 N Military Ave,+14055211902,https://www.lidorestaurantokc.com/,Lido Restaurant,asian_fusion_restaurant,"2518 N Military Ave, 101",4055211902,https://www.lidorestaurantokc.com/?utm_source=bing&utm_medium=websiteurl&utm_campaign=search,1
BFC Money Vay Nhanh Qua Icloud,financial_advising,25 Phố Nguyễn Hoàng,+84968964286,https://bfcmoney.com/,BFC MONEY,financial_service,25 Phố Nguyễn Hoàng,+8419007334,https://www.24h.com.vn/doanh-nhan/hanh-trinh-tu-mot-tho-sua-xe-thanh-giam-doc-chuoi-he-thong-cam-do-bfc-viet-nam-c606a1239323.html,1
Lidl US,supermarket,420 E MacDade Blvd,+18447475435,http://www.lidl.com/,Lidl,retail,420 Macdade Blvd,8447475435,https://www.lidl.com/,1
Guild Mortgage,mortgage_broker,7600 E Orchard Rd,+13034880475,https://scottmulvany.com/,Guild Mortgage - Jacob Bahr,mortgage_lender,7600 E Orchard Rd Ste 300n,,https://branches.guildmortgage.com/co/greenwoodvilge/jacob-bahr-554-chjbah.html,0
Personalized Dentistry-LRR Dental,general_dentistry,30825 Ryan Rd,5867512900,http://lrrdental.com/,Personalized Dentistry Lewis Rochlen Rochlen,general_dentistry,30825 Ryan Rd,5867512900,http://www.lrrdental.com/,1
Missoula Realty,real_estate_agent,2110 S Reserve St,4065490094,,Missoula Realty,real_estate_agent,2110 S Reserve St,4065490094,http://www.mslarealty.com/,1
Zenit Panzió,hotel,Miskolctapolcai út 25,+3646561561,http://www.zenitpanzio.hu/,Zenit Panzió,bed_and_breakfast,Miskolctapolcai út 25-27,0646561561,https://zenit-panzio-miskolctapolca-minosegi-szallas.business.site/,1
bp,gas_station,6749 Ogden Ave,+17084849060,https://map.bp.com/en-US/US/gas-station/berwyn/bp/92621240367496040200100000000000,BP,gas_station,6749 Ogden Ave,7084849060,http://mybpstation.com/,1
Olympia Chorus,community_services_non_profits,1515 Harrison Ave NW,+13604366313,http://www.olympiachorus.org/,Olympia Waterfront,real_estate,1722 Harrison Ave NW,+13602800509,http://Www.WattsPropertyGroup.com/,0
Diamond L Western Outfitter,shoe_store,811 Collins Blvd,9858984964,,Diamond L Western Outfitter,shoe_store,811 Collins Blvd,9858984964,,1
South Amboy Basc Program,day_care_preschool,249 John St,+17327441749,http://southamboypto.org/,South Amboy Tax Office,community_center,140 Broadway N,+17325255924,http://www.southamboynj.gov/page/emergency-managment,0
Evergreen,home_developer,"Richardson Rd &, Corder Dr",+61435914137,https://www.avjennings.com.au/nsw/evergreen,"Evergreen, Spring Farm by AVJennings",home_developer,Richardson Rd & Corder Dr,0435914137,https://www.avjennings.com.au/communities/nsw/evergreen-spring-farm-2570/,1
Clínica Bella Extrat,,"Rua Duque de Caxias, 389",+5524992941319,https://www.instagram.com/explore/,Clínica MD,hospital,"Avenida Joaquim Leite, 509",+552433239163,http://www.clinicamd.com.br/,0
Guaranteed Auto of Celina,car_buyer,805 N Main St,5675105908,http://guaranteedauto.com/,Guaranteed Auto of Celina,car_buyer,805 N Main St,5675105908,http://www.guaranteedauto.com/,1
Amscot - The Money Superstore,bank_credit_union,6106 Gunn Hwy,8139624420,https://www.amscot.com/location/branch-68/6106-gunn-hwy-tampa-fl-33625,Amscot - The Money Superstore,bank_credit_union,6106 Gunn Hwy,8139624420,https://www.amscot.com/location/branch-68/6106-gunn-hwy-tampa-fl-33625/,1
Office Depot Print & Copy,printing_services,8800 Rosedale Hwy,6618294641,https://www.officedepot.com/storelocator/ca/bakersfield/office-depot-2175/print-services,Office Depot Tech,information_technology_company,"8800 Rosedale Hwy, Next To Home Depot & Walmart",6618294653,http://www.officedepot.com/storelocator/ca/bakersfield/office-depot-2175/tech-services,0
Lüleburgaz Şehir Hamamı,landmark_and_historical_building,Hamam Sokak 1,+902884125378,,Lüleburgaz Engelliler Derneği,community_services_non_profits,Dere Mah,,,0
Mercy Health - Anderson Hills Internal Medicine,internal_medicine,8000 Five Mile Rd Ste 305,5132323500,https://www.mercy.com/locations/primary-care-family-medicine/cincinnati/mercy-health-anderson-hills-internal-medicine,Mercy Health - Anderson Hospital,hospital,7500 State Rd,5136244500,https://www.mercy.com/cincinnati/locations/hospitals/mercy-health-anderson-hospital,0
Stewart's Shops,convenience_store,1218 Troy Schenectady Rd,5187858800,https://locations.stewartsshops.com/ll/US/NY/Latham/1218-Troy-Schenectady-Road,Stewart's Shops,convenience_store,1218 Troy Schenectady Rd,5185811200,http://www.stewartsshops.com/shops/234-latham/,1
Elfenfabrik,children's_clothing_store,Nelblingstraße 13,+4974611718009,https://www.elfenfabrik.com/,Elfenfabrik,clothing_store,Nelblingstr. 13,,https://www.elfenfabrik.com/,1
Howards Dorchester,car_dealer,London Road,+441305266066,www.peugeot.co.uk,Howards Hyundai Dorchester,automotive,London Road,01305555700,https://www.howardsgroup.co.uk/dealerships/hyundai-dorchester,1
Profile Publishing Location Name - Suite,automotive,1766 Palo Verde Ave,4089844462,https://creativesol.com/?utm_j=book,Profile Publishing Location Name - Suite,automotive,1766 Palo Verde Ave,4089844462,https://creativesol.com/?utm_j=book,1
Blountsville Pharmacy,pharmacy,69005 Main St,2054293351,https://www.facebook.com/blountsvillepharmacy/,Blountsville Pharmacy,pharmacy,69005 Main St,2054293351,http://www.mygnp.com/store?id=0013000000ioAYsAAM,1
LasikPlus,eye_care_clinic,13321 N Meridian Ave,+18667352038,https://www.lasikplus.com/location/oklahoma-city-lasik-center,LasikPlus,ophthalmologist,13321 N Meridian Ave Ste 110,8669212392,https://www.lasikplus.com/location/oklahoma-city-lasik-center,1
Arby's,fast_food_restaurant,5980 Cattleridge Blvd,9413792729,https://locations.arbys.com/fl/sarasota/5980-cattleridge-blvd.html,Arby's,fast_food_restaurant,5980 Cattleridge Blvd,9413792729,https://locations.arbys.com/fl/sarasota/5980-cattleridge-blvd.html,1
Mariscos el Güero,seafood_restaurant,Calle Morelos 805,+523344444859,,Mariscos El Jarocho,seafood_restaurant,Calle Camarena 141,+523339159117,https://www.restaurantlogin.com/api/fb/q3_vkm,0
Snap Fitness Joppa,gym,413 Pulaski Hwy,+14106791000,https://www.snapfitness.com/us/gyms/joppa-md/?utm_source=fb&utm_medium=yext,Snap Fitness,gym,413 Pulaski Hwy,4106791064,http://www.snapfitness.com/gyms/joppa-md-21085/1869,1
British Heart Foundation,thrift_store,36 High Street,+442087703560,http://www.bhf.org.uk/what-we-do/find-bhf-near-you/sutton-bhf-shop,British Heart Foundation,thrift_store,36 High Street,02087703560,http://www.bhf.org.uk/what-we-do/find-bhf-near-you/sutton-bhf-shop,1
Babbacombe Inn,bar,59 Babbacombe Downs Road,+441803316200,http://www.babbacombeinn.co.uk,Babbacombe Bay House,hotel,33-35 Babbacombe Downs Road,+447391122365,https://babbacombebayhouse.co.uk/,0
Sherwin-Williams Paint Store,paint_store,820 NE Park St,8638246101,http://www.sherwin-williams.com/store-locator/paint-store/okeechobee/fl/702573,Sherwin-Williams Paint Store,paint_store,820 NE Park St,8638246101,,1
UofL Health - Frazier Rehab Institute - Sports Medicine,rehabilitation_center,201 Abraham Flexner Way Ste 102,5025608300,https://uoflphysicians.com/locations/uofl-health-frazier-rehab-institute-uofl-physicians-sports-medicine/,UofL Health – Frazier Rehabilitation Institute – Sports Medicine,rehabilitation_center,201 Abraham Flexner Way Ste 102,5025608300,https://uoflhealth.org/locations/uofl-health-frazier-rehab-institute-uofl-physicians-sports-medicine/,1
Tiger Rock Martial Arts,martial_arts_club,1404 Lawrenceville Suwanee Rd,+17709627333,http://www.tigerrockatlanta.com/,Tiger Rock Martial Arts of Lawrenceville,martial_arts_club,1404 Lawrenceville Suwanee Rd Ste 104,7709627333,http://www.trma-lawrenceville.com/,1
Ron Lewis Chevrolet Beaver Falls,used_car_dealer,300 9th Ave,7248461440,http://www.ronlewischevrolet.com/,Ron Lewis Ford,automotive,300 9th Ave,7248431000,https://www.ronlewisford.net/,0
Mint House Greenville,accommodation,366 Field St,+18559729090,https://minthouse.com/greenville/west-end/,Mint House Greenville - West End,resort,366 Field St,8559729090,https://minthouse.com/greenville/west-end/?utm_source=local-listings&utm_medium=organic&utm_campaign=local-listings,1
Silicon Valley Satellite,professional_services,1220 Tasman Dr,+14089620506,http://www.svsys.net/,Silicon Valley Turkish Language Institute,specialty_school,1257 Tasman Dr,,http://pacificasv.org/,0
Lafarmacia.Perale,pharmacy,"Piazza Vittorio Emanuele II, 9",+39043725271,http://www.ulss.belluno.it,Lafarmacia.Perale,pharmaceutical_products_wholesaler,"Piazza Vittorio Emanuele II, 12",043725271,https://www.lafarmacia.it/trova-farmacia/perale-belluno?utm_source=bing&utm_medium=organic&utm_campaign=bing,1
Kumon Math and Reading Center of Burien,tutoring_center,14200 1st Ave S,+12063600444,http://www.kumon.com/burien-downtown,Kumon Math and Reading Center of Burien - Downtown,education,14200 1st Ave S Ste B,2063600444,http://www.kumon.com/burien-downtown,1
ItsSo Travel Torquay,travel_services,38 Fore Street,+441803494001,http://www.itssotravel.com/,ItsSo Travel Torquay,travel_agents,"38 Fore Street, St Marychurch",01803494001,http://www.itssotravel.com/,1
Profile Publishing Location 1,automotive,1766 Palo Verde Ave,4089844462,,Profile Publishing Location 1,automotive,1766 Palo Verde Ave,4089844462,,1
Shriram Finance Limited,installment_loans,"1st Floor, Muthu Complex, No. 3/117, GST Main Rd",+918929113279,https://locate-us.iifl.com/apply-for-gold-loan/iifl-gold-loan-madurai-thiru-nagar-gl-loan-agency-thiru-nagar-madurai-64114/Home?utm_source=locator&utm_medium=facebook,Shriram Finance Limited,credit_union,"No. 3/117, 1st Floor, Muthu Complex, GST Road, Thiru Nagar",18001036369,https://www.shriramfinance.in/,1
Health Care Physicians Profile 1,,"3rd Floor, Rajapushpa Business Center, Kondapur",06194420600,https://creativesol.com/?utm_j=book,Health Care Physicians Profile 7,,"3rd Floor, Rajapushpa Business Center, Kondapur",06194420600,https://creativesol.com/?utm_j=book,0
The Old Star,bed_and_breakfast,Pye Cor,+441454776098,http://www.theoldstarbristol.co.uk,The Old Star,bed_and_breakfast,Pye Corner,01454776098,http://www.theoldstarbristol.co.uk/,1
Advanced Contractors,,4751 SW 42nd Ter,9543470374,http://www.advancedcgc.com/,Advanced Construction Inc,,4751 SW 42nd Ter,9547194532,http://www.daniabeachhomecontractor.com/,1
숙명여자대학교 박물관·미술관,art_gallery,서울시 용산구 청파로49길 99,+10220777052,https://home.sookmyung.ac.kr/sites/museumintro/index.do,숙명여자대학교박물관,museum,청파동2가 53-12,+10220777755,http://museum.sookmyung.ac.kr,1
Lidl Deutschland,supermarket,Kaltenkirchener Siedlung 3,+493022005500,https://www.lidl.de/,Lidl,supermarket,Kaltenkirchener Siedlung 3,03022005500,https://www.lidl.de/,1
Cube Dx GmbH,medical_supply,Westbahnstraße 55,07435581930,https://www.cubedx.com/,Cube Dx,medical_supply,Westbahnstraße 55,07435581930,https://www.cubedx.com/,1
Mercy Health - Perrysburg Physical Medicine and Rehabilitation,doctor,"12623 Eckel Junction Road, Suite 2600, Entrance C",4198858449,https://www.mercy.com/locations/specialty-locations/orthopedics-sports-medicine-spine/mercy-health-perrysburg-physical-medicine-and-rehabilitation?utm_source=local-listings&utm_medium=organic&utm_content=website_link,Mercy Health,orthopedist,12623 Eckel Junction Rd,5673681000,https://www.mercy.com/locations/hospitals/toledo/mercy-health-perrysburg-hospital?utm_source=bing&utm_medium=organic&utm_content=local_website_link,0
Tires Plus,tire_dealer_and_repair,600 E Army Post Rd,+15156509354,https://www.tiresplus.com/iowa/des-moines/600-e-army-post-rd/,Tires Plus,tire_shop,600 E Army Post Rd,5156509354,https://www.tiresplus.com/iowa/des-moines/600-e-army-post-rd/,1
Jennifer Sontz,psychologist,310 E 75th St,+16463421251,http://www.zocdoc.com/,Jennifer Butt,doctor,342 E 77th St,+12125979555,http://www.jenniferbuttmd.com/,0
Houston Methodist DeBakey Cardiology Associates,hospital,6550 Fannin St,+17134411100,https://www.houstonmethodist.org/,Houston Methodist Primary Care Group,clinical_laboratories,"6560 Fannin St, Scurlock Ste 1950",7134414280,http://www.houstonmethodist.org/pcg/tmc-1950/,0
Täby AK,gym,Attundavägen 1,+4687584814,http://www2.idrottonline.se/TabyAK-Styrkelyft,Täby Sportcentrum,gym,Åkerbyvägen 4,+10850382760,,0
Candlewood Suites Muskogee,hotel,1601 N 32nd St,+19189105253,https://www.ihg.com/candlewood/hotels/us/en/muskogee/mkocs/hoteldetail?cm_mmc=FacebookMaps-_-CW-_-US-_-MKOCS,"Candlewood Suites Muskogee, an IHG Hotel",resort,1601 N. 32nd Street,9189105253,https://www.ihg.com/candlewood/hotels/us/en/muskogee/mkocs/hoteldetail?cm_mmc=BingMaps-_-CW-_-US-_-MKOCS,1
Miracle Method Surface Refinishing,contractor,5909 Breckenridge Pkwy,+18133591293,https://www.miraclemethod.com/tampa-east?utm_source=Facebook&utm_medium=Organic&utm_content=FBPage,Miracle Method Surface Refinishing,home_improvement_store,5909 Breckenridge Pkwy Ste G,8133591293,https://www.miraclemethod.com/tampa-east?utm_source=Google&utm_medium=GMB&utm_content=MMMS-Managed-Ads,1
Fruitful Yield,public_market,7230 W North Ave,7083955880,https://www.fruitfulyield.com/,Fruitful Yield,public_market,7230 W North Ave,7083955880,http://www.fruitfulyield.com/,1
Estate Marketers,real_estate,"Office , first floor, center point plaza#57&58 ,mini river view commercial phase 7 Bahria Town Rawalpindi.",+923366667333,http://www.estatemarketers.com/,Estate Venture,real_estate,"Office no 101 1st Floor,Plot no.12 Malik Heights. Midway Commercial Main Bahria Expressway Phase 7. Rawalpindi",+923005123279,http://www.estateventure.pk/,0
